video_id,clip_name,ped_id,eval_label,violation_type,cross_action,look,action,start_frame,end_frame,num_frames,has_zebra,has_red_light,has_green_light,is_signalized,is_designated,road_type,num_lanes,intersection,clip_exists
video_0050,video_0050.mp4,0_50_221b,compliant,,crossing,not-looking,walking,0,269,270,False,False,False,True,True,parking_lot,2,yes,True
video_0053,video_0053.mp4,0_53_231b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,235,236,False,False,False,False,False,street,4,no,True
video_0053,video_0053.mp4,0_53_226b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,7,239,233,False,False,False,False,False,street,4,no,True
video_0054,video_0054.mp4,0_54_239b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,350,351,False,False,False,False,False,street,4,no,True
video_0056,video_0056.mp4,0_56_255b,compliant,,crossing,not-looking,walking,0,258,259,False,False,False,False,False,street,2,yes,True
video_0062,video_0062.mp4,0_62_282b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,81,82,False,False,False,False,True,street,1,yes,True
video_0067,video_0067.mp4,0_67_325b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,109,110,False,False,False,False,True,street,2,yes,True
video_0067,video_0067.mp4,0_67_315b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,236,237,False,False,False,False,True,street,2,yes,True
video_0067,video_0067.mp4,0_67_324b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,239,240,False,False,False,False,True,street,2,yes,True
video_0067,video_0067.mp4,0_67_320b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,214,215,False,False,False,False,True,street,2,yes,True
video_0067,video_0067.mp4,0_67_311b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,239,240,False,False,False,False,True,street,2,yes,True
video_0073,video_0073.mp4,0_73_384b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,119,120,False,False,False,False,False,street,3,no,True
video_0076,video_0076.mp4,0_76_403b,compliant,,crossing,not-looking,walking,0,266,267,True,False,False,True,True,street,2,yes,True
video_0076,video_0076.mp4,0_76_400b,compliant,,crossing,not-looking,walking,151,269,119,True,False,False,True,True,street,2,yes,True
video_0076,video_0076.mp4,0_76_398b,compliant,,crossing,not-looking,walking,128,269,142,True,False,False,True,True,street,2,yes,True
video_0077,video_0077.mp4,0_77_407b,compliant,,crossing,not-looking,walking,29,179,151,False,False,False,True,True,parking_lot,1,yes,True
video_0077,video_0077.mp4,0_77_405b,compliant,,crossing,not-looking,walking,54,179,126,False,False,False,True,True,parking_lot,1,yes,True
video_0077,video_0077.mp4,0_77_406b,compliant,,crossing,not-looking,walking,41,164,124,False,False,False,True,True,parking_lot,1,yes,True
video_0081,video_0081.mp4,0_81_431b,jaywalking,NO_CROSSWALK,crossing,looking,walking,0,149,150,False,False,False,False,False,street,2,yes,True
video_0081,video_0081.mp4,0_81_430b,jaywalking,NO_CROSSWALK,crossing,looking,walking,0,149,150,False,False,False,False,False,street,2,yes,True
video_0082,video_0082.mp4,0_82_436b,compliant,,crossing,not-looking,walking,38,146,109,True,False,False,False,True,street,4,yes,True
video_0083,video_0083.mp4,0_83_447b,compliant,,crossing,not-looking,walking,0,233,234,True,False,False,False,True,street,4,yes,True
video_0087,video_0087.mp4,0_87_483b,compliant,,crossing,not-looking,walking,0,232,233,True,False,False,False,True,street,4,yes,True
video_0092,video_0092.mp4,0_92_509b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,179,180,False,False,True,False,False,street,4,yes,True
video_0092,video_0092.mp4,0_92_506b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,113,114,False,False,True,False,False,street,4,yes,True
video_0092,video_0092.mp4,0_92_504b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,179,180,False,False,True,False,False,street,4,yes,True
video_0095,video_0095.mp4,0_95_522b,compliant,,crossing,not-looking,walking,0,234,235,True,False,False,False,True,street,2,yes,True
video_0099,video_0099.mp4,0_99_549b,compliant,,crossing,not-looking,walking,7,179,173,True,False,False,False,True,street,4,yes,True
video_0100,video_0100.mp4,0_100_554b,compliant,,crossing,not-looking,walking,0,237,238,True,False,False,False,True,street,4,yes,True
video_0104,video_0104.mp4,0_104_575b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,144,145,False,False,False,False,False,street,2,yes,True
video_0107,video_0107.mp4,0_107_587b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,171,172,False,False,False,False,False,street,2,yes,True
video_0110,video_0110.mp4,0_110_618b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,209,210,False,False,False,False,False,street,2,no,True
video_0111,video_0111.mp4,0_111_628b,compliant,,crossing,not-looking,walking,0,167,168,True,False,False,False,True,street,3,yes,True
video_0112,video_0112.mp4,0_112_632b,compliant,,crossing,not-looking,walking,0,87,88,True,False,False,False,True,street,4,yes,True
video_0122,video_0122.mp4,0_122_718b,compliant,,crossing,not-looking,walking,0,84,85,True,False,False,True,True,street,4,yes,True
video_0122,video_0122.mp4,0_122_713b,compliant,,crossing,looking,walking,0,176,177,True,False,False,True,True,street,4,yes,True
video_0123,video_0123.mp4,0_123_720b,compliant,,crossing,looking,walking,0,143,144,True,False,False,False,True,street,3,yes,True
video_0124,video_0124.mp4,0_124_737b,jaywalking,SIGNAL_VIOLATION,crossing,not-looking,walking,0,431,432,True,True,True,True,True,street,3,yes,True
video_0131,video_0131.mp4,0_131_778b,compliant,,crossing,not-looking,walking,0,164,165,True,False,False,False,True,street,2,yes,True
video_0133,video_0133.mp4,0_133_790b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,199,200,False,False,False,False,False,street,4,no,True
video_0135,video_0135.mp4,0_135_831b,compliant,,crossing,not-looking,walking,220,509,290,True,False,False,False,True,street,2,yes,True
video_0135,video_0135.mp4,0_135_813b,compliant,,crossing,not-looking,walking,339,509,171,True,False,False,False,True,street,2,yes,True
video_0136,video_0136.mp4,0_136_846b,compliant,,crossing,not-looking,walking,0,232,233,True,False,False,False,True,street,4,no,True
video_0137,video_0137.mp4,0_137_847b,jaywalking,SIGNAL_VIOLATION,crossing,not-looking,walking,0,209,210,False,True,False,True,True,street,4,yes,True
video_0138,video_0138.mp4,0_138_859b,jaywalking,SIGNAL_VIOLATION,crossing,not-looking,walking,0,299,300,False,True,False,True,True,street,4,yes,True
video_0138,video_0138.mp4,0_138_856b,jaywalking,SIGNAL_VIOLATION,crossing,not-looking,walking,0,269,270,False,True,False,True,True,street,4,yes,True
video_0138,video_0138.mp4,0_138_854b,jaywalking,SIGNAL_VIOLATION,crossing,looking,walking,0,270,271,False,True,False,True,True,street,4,yes,True
video_0138,video_0138.mp4,0_138_858b,jaywalking,SIGNAL_VIOLATION,crossing,not-looking,walking,0,263,264,False,True,False,True,True,street,4,yes,True
video_0139,video_0139.mp4,0_139_866b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,164,165,False,False,False,False,False,street,2,yes,True
video_0139,video_0139.mp4,0_139_863b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,170,110,False,False,False,False,False,street,2,yes,True
video_0139,video_0139.mp4,0_139_861b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,182,183,False,False,False,False,False,street,2,yes,True
video_0139,video_0139.mp4,0_139_865b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,77,198,122,False,False,False,False,False,street,2,yes,True
video_0141,video_0141.mp4,0_141_872b,compliant,,crossing,not-looking,walking,0,149,150,True,False,False,False,True,parking_lot,1,yes,True
video_0144,video_0144.mp4,0_144_900b,compliant,,crossing,not-looking,walking,91,235,145,True,False,False,False,True,street,3,yes,True
video_0144,video_0144.mp4,0_144_888b,compliant,,crossing,not-looking,walking,94,240,147,True,False,False,False,True,street,3,yes,True
video_0144,video_0144.mp4,0_144_909b,compliant,,crossing,not-looking,walking,0,204,205,True,False,False,False,True,street,3,yes,True
video_0145,video_0145.mp4,0_145_929b,compliant,,crossing,not-looking,walking,0,204,205,True,False,False,False,True,street,2,yes,True
video_0146,video_0146.mp4,0_146_947b,compliant,,crossing,not-looking,walking,0,109,110,True,False,False,True,True,street,6,yes,True
video_0146,video_0146.mp4,0_146_940b,compliant,,crossing,not-looking,walking,0,119,120,True,False,False,True,True,street,6,yes,True
video_0146,video_0146.mp4,0_146_943b,compliant,,crossing,not-looking,walking,0,117,118,True,False,False,True,True,street,6,yes,True
video_0150,video_0150.mp4,0_150_974b,compliant,,crossing,not-looking,walking,0,329,254,True,False,False,False,True,street,2,yes,True
video_0150,video_0150.mp4,0_150_967b,compliant,,crossing,not-looking,walking,194,329,136,True,False,False,False,True,street,4,yes,True
video_0152,video_0152.mp4,0_152_1019b,compliant,,crossing,looking,walking,0,242,243,True,False,False,False,False,street,3,yes,True
video_0154,video_0154.mp4,0_154_1042b,compliant,,crossing,not-looking,walking,0,329,229,True,False,True,False,True,street,2,yes,True
video_0157,video_0157.mp4,0_157_1068b,compliant,,crossing,not-looking,walking,0,89,90,True,False,False,False,True,street,2,yes,True
video_0157,video_0157.mp4,0_157_1063b,compliant,,crossing,not-looking,walking,0,89,90,True,False,False,False,True,street,2,yes,True
video_0159,video_0159.mp4,0_159_1081b,compliant,,crossing,not-looking,walking,0,239,240,True,False,True,True,True,street,4,yes,True
video_0159,video_0159.mp4,0_159_1078b,compliant,,crossing,not-looking,walking,79,239,161,False,False,True,True,True,street,4,yes,True
video_0159,video_0159.mp4,0_159_1076b,compliant,,crossing,not-looking,walking,0,239,240,True,False,True,True,True,street,4,yes,True
video_0160,video_0160.mp4,0_160_1085b,compliant,,crossing,not-looking,walking,0,209,210,True,False,False,False,True,street,2,yes,True
video_0162,video_0162.mp4,0_162_1095b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,103,104,False,False,False,False,False,street,6,no,True
video_0167,video_0167.mp4,0_167_1152b,compliant,,crossing,looking,walking,0,149,150,True,False,False,False,True,street,2,yes,True
video_0168,video_0168.mp4,0_168_1166b,compliant,,crossing,not-looking,walking,0,119,120,True,False,False,False,True,street,4,yes,True
video_0169,video_0169.mp4,0_169_1179b,compliant,,crossing,not-looking,walking,0,179,180,True,False,False,False,True,street,4,yes,True
video_0170,video_0170.mp4,0_170_1193b,compliant,,crossing,not-looking,walking,0,119,120,True,False,False,False,True,street,4,yes,True
video_0174,video_0174.mp4,0_174_1231b,compliant,,crossing,looking,walking,0,119,120,True,False,False,True,True,street,3,yes,True
video_0174,video_0174.mp4,0_174_1226b,compliant,,crossing,not-looking,walking,0,119,120,True,False,False,True,True,street,3,yes,True
video_0175,video_0175.mp4,0_175_1245b,compliant,,crossing,not-looking,walking,0,149,150,True,False,False,False,True,street,2,yes,True
video_0175,video_0175.mp4,0_175_1237b,compliant,,crossing,not-looking,walking,0,149,150,True,False,False,False,True,street,2,yes,True
video_0175,video_0175.mp4,0_175_1244b,compliant,,crossing,not-looking,walking,19,149,131,True,False,False,False,True,street,2,yes,True
video_0175,video_0175.mp4,0_175_1241b,compliant,,crossing,not-looking,walking,0,149,150,True,False,False,False,True,street,2,yes,True
video_0178,video_0178.mp4,0_178_1283b,compliant,,crossing,not-looking,walking,0,149,150,True,False,False,False,True,street,4,yes,True
video_0178,video_0178.mp4,0_178_1274b,compliant,,crossing,not-looking,walking,39,116,78,True,False,False,False,True,street,4,yes,True
video_0178,video_0178.mp4,0_178_1282b,compliant,,crossing,not-looking,walking,163,239,77,True,False,False,False,True,street,4,yes,True
video_0178,video_0178.mp4,0_178_1270b,compliant,,crossing,not-looking,walking,165,239,75,True,False,False,False,True,street,4,yes,True
video_0178,video_0178.mp4,0_178_1279b,compliant,,crossing,not-looking,walking,0,150,151,True,False,False,False,True,street,4,yes,True
video_0185,video_0185.mp4,0_185_1314b,compliant,,crossing,looking,walking,7,149,143,True,False,False,False,True,street,2,no,True
video_0187,video_0187.mp4,0_187_1346b,compliant,,crossing,not-looking,walking,0,239,240,True,False,False,False,True,street,3,yes,True
video_0187,video_0187.mp4,0_187_1345b,compliant,,crossing,looking,walking,0,239,240,True,False,False,False,True,street,3,yes,True
video_0190,video_0190.mp4,0_190_1368b,compliant,,crossing,not-looking,walking,254,359,106,True,False,False,False,True,street,2,yes,True
video_0190,video_0190.mp4,0_190_1365b,compliant,,crossing,not-looking,walking,179,359,181,True,False,False,False,True,street,2,yes,True
video_0191,video_0191.mp4,0_191_1399b,compliant,,crossing,not-looking,walking,0,149,150,True,False,False,False,False,street,3,yes,True
video_0191,video_0191.mp4,0_191_1379b,compliant,,crossing,not-looking,walking,0,149,150,True,False,False,False,False,street,3,yes,True
video_0191,video_0191.mp4,0_191_1395b,compliant,,crossing,not-looking,walking,0,149,150,True,False,False,False,False,street,3,yes,True
video_0191,video_0191.mp4,0_191_1394b,compliant,,crossing,looking,walking,0,115,116,True,False,False,False,True,street,3,yes,True
video_0193,video_0193.mp4,0_193_1415b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,193,194,False,False,False,False,False,street,4,yes,True
video_0198,video_0198.mp4,0_198_1457b,compliant,,crossing,not-looking,walking,0,84,85,True,False,False,False,True,street,3,yes,True
video_0204,video_0204.mp4,0_204_1487b,compliant,,crossing,not-looking,walking,3,149,147,True,False,True,True,True,street,2,yes,True
video_0204,video_0204.mp4,0_204_1484b,compliant,,crossing,not-looking,walking,0,109,110,True,False,True,True,True,street,3,yes,True
video_0204,video_0204.mp4,0_204_1481b,compliant,,crossing,not-looking,walking,0,149,150,True,False,True,True,True,street,3,yes,True
video_0204,video_0204.mp4,0_204_1480b,compliant,,crossing,not-looking,walking,0,149,150,True,False,True,True,True,street,3,yes,True
video_0206,video_0206.mp4,0_206_1494b,compliant,,crossing,not-looking,walking,27,179,153,True,False,False,False,True,street,2,yes,True
video_0206,video_0206.mp4,0_206_1489b,compliant,,crossing,not-looking,walking,18,168,151,True,False,False,False,True,street,2,yes,True
video_0209,video_0209.mp4,0_209_1508b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,77,149,73,False,False,False,False,False,street,2,no,True
video_0212,video_0212.mp4,0_212_1542b,compliant,,crossing,not-looking,walking,0,209,210,True,False,False,False,True,street,2,yes,True
video_0213,video_0213.mp4,0_213_1551b,compliant,,crossing,not-looking,walking,246,359,114,True,False,False,False,True,street,3,yes,True
video_0213,video_0213.mp4,0_213_1549b,compliant,,crossing,not-looking,walking,241,359,119,True,False,False,False,True,street,3,yes,True
video_0214,video_0214.mp4,0_214_1568b,compliant,,crossing,not-looking,walking,0,149,150,False,False,False,True,True,street,3,yes,True
video_0214,video_0214.mp4,0_214_1563b,compliant,,crossing,not-looking,walking,0,149,150,False,False,False,True,True,street,3,yes,True
video_0216,video_0216.mp4,0_216_1589b,compliant,,crossing,not-looking,walking,0,149,150,True,False,False,False,False,street,6,no,True
video_0216,video_0216.mp4,0_216_1590b,compliant,,crossing,not-looking,walking,15,149,135,True,False,False,False,False,street,6,no,True
video_0221,video_0221.mp4,0_221_1636b,compliant,,crossing,not-looking,walking,59,256,198,True,False,False,False,True,street,4,yes,True
video_0221,video_0221.mp4,0_221_1627b,compliant,,crossing,looking,walking,31,239,209,True,False,False,False,True,street,4,yes,True
video_0221,video_0221.mp4,0_221_1642b,compliant,,crossing,not-looking,walking,43,259,217,True,False,False,False,True,street,4,yes,True
video_0221,video_0221.mp4,0_221_1633b,compliant,,crossing,not-looking,walking,90,267,178,True,False,False,False,True,street,4,yes,True
video_0223,video_0223.mp4,0_223_1675b,jaywalking,SIGNAL_VIOLATION,crossing,looking,walking,161,335,175,True,True,False,True,True,street,2,yes,True
video_0223,video_0223.mp4,0_223_1674b,jaywalking,SIGNAL_VIOLATION,crossing,not-looking,walking,0,43,44,True,True,False,True,True,street,2,yes,True
video_0223,video_0223.mp4,0_223_1669b,jaywalking,SIGNAL_VIOLATION,crossing,not-looking,walking,156,350,195,True,True,False,True,True,street,2,yes,True
video_0227,video_0227.mp4,0_227_1720b,compliant,,crossing,looking,walking,0,174,175,True,False,False,True,True,street,3,yes,True
video_0229,video_0229.mp4,0_229_1737b,compliant,,crossing,not-looking,walking,0,107,108,True,False,False,False,False,street,4,yes,True
video_0230,video_0230.mp4,0_230_1746b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,4,119,116,False,False,False,False,False,street,3,no,True
video_0233,video_0233.mp4,0_233_1786b,compliant,,crossing,not-looking,walking,36,263,228,True,False,False,False,True,street,3,yes,True
video_0236,video_0236.mp4,0_236_1829b,compliant,,crossing,not-looking,walking,0,137,138,True,False,False,False,True,street,4,yes,True
video_0238,video_0238.mp4,0_238_1849b,compliant,,crossing,not-looking,walking,0,237,238,True,False,False,False,True,street,3,yes,True
video_0240,video_0240.mp4,0_240_1858b,compliant,,crossing,not-looking,walking,0,209,210,True,False,False,False,True,street,2,yes,True
video_0240,video_0240.mp4,0_240_1857b,compliant,,crossing,not-looking,walking,0,209,210,True,False,False,False,True,street,2,yes,True
video_0241,video_0241.mp4,0_241_1860b,compliant,,crossing,looking,walking,0,149,150,True,False,False,False,True,street,3,yes,True
video_0244,video_0244.mp4,0_244_1882b,compliant,,crossing,not-looking,walking,0,239,240,True,False,False,False,True,street,2,yes,True
video_0247,video_0247.mp4,0_247_1904b,compliant,,crossing,not-looking,walking,0,209,210,True,False,True,True,True,street,4,yes,True
video_0247,video_0247.mp4,0_247_1901b,compliant,,crossing,not-looking,walking,0,209,210,True,False,True,True,True,street,4,yes,True
video_0247,video_0247.mp4,0_247_1899b,compliant,,crossing,not-looking,walking,0,209,210,True,False,True,True,True,street,4,yes,True
video_0251,video_0251.mp4,0_251_1961b,compliant,,crossing,not-looking,walking,0,201,202,True,False,False,False,True,street,4,yes,True
video_0251,video_0251.mp4,0_251_1963b,compliant,,crossing,not-looking,walking,54,209,156,True,False,False,False,True,street,4,yes,True
video_0263,video_0263.mp4,0_263_2035b,compliant,,crossing,not-looking,walking,0,119,120,True,False,False,False,True,street,2,yes,True
video_0263,video_0263.mp4,0_263_2030b,compliant,,crossing,not-looking,walking,0,119,120,True,False,False,False,True,street,2,yes,True
video_0264,video_0264.mp4,0_264_2056b,compliant,,crossing,not-looking,walking,0,149,150,True,False,False,False,False,street,3,yes,True
video_0264,video_0264.mp4,0_264_2058b,compliant,,crossing,looking,walking,13,44,32,True,False,False,False,True,street,3,yes,True
video_0265,video_0265.mp4,0_265_2066b,compliant,,crossing,not-looking,walking,0,149,150,True,False,False,False,True,street,2,yes,True
video_0270,video_0270.mp4,0_270_2147b,compliant,,crossing,not-looking,walking,0,179,180,True,False,False,False,True,street,3,yes,True
video_0274,video_0274.mp4,0_274_2164b,compliant,,crossing,not-looking,walking,55,269,215,True,False,False,False,True,street,2,no,True
video_0274,video_0274.mp4,0_274_2171b,compliant,,crossing,not-looking,walking,45,269,225,True,False,False,False,True,street,2,no,True
video_0278,video_0278.mp4,0_278_2189b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,119,120,False,False,False,False,False,street,2,no,True
video_0278,video_0278.mp4,0_278_2188b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,29,100,72,False,False,False,False,False,street,2,no,True
video_0279,video_0279.mp4,0_279_2199b,compliant,,crossing,not-looking,walking,0,149,150,True,False,False,False,True,street,2,yes,True
video_0279,video_0279.mp4,0_279_2192b,compliant,,crossing,not-looking,walking,16,149,134,True,False,False,False,True,street,2,yes,True
video_0281,video_0281.mp4,0_281_2203b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,15,239,225,False,False,False,False,True,street,3,yes,True
video_0285,video_0285.mp4,0_285_2224b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,179,180,False,False,False,False,False,street,2,no,True
video_0292,video_0292.mp4,0_292_2267b,compliant,,crossing,not-looking,walking,0,179,180,True,False,False,False,True,street,2,no,True
video_0293,video_0293.mp4,0_293_2285b,compliant,,crossing,not-looking,walking,0,269,270,True,False,False,False,True,street,2,yes,True
video_0293,video_0293.mp4,0_293_2276b,compliant,,crossing,not-looking,walking,0,269,270,True,False,False,False,True,street,2,yes,True
video_0293,video_0293.mp4,0_293_2281b,compliant,,crossing,not-looking,walking,0,232,233,True,False,False,False,True,street,2,yes,True
video_0297,video_0297.mp4,0_297_2303b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,164,367,204,False,False,False,False,True,street,2,yes,True
video_0297,video_0297.mp4,0_297_2299b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,188,325,138,False,False,False,False,True,street,2,yes,True
video_0297,video_0297.mp4,0_297_2298b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,182,349,168,False,False,False,False,True,street,2,yes,True
video_0298,video_0298.mp4,0_298_2311b,compliant,,crossing,not-looking,walking,208,269,62,True,False,False,False,True,street,2,yes,True
video_0298,video_0298.mp4,0_298_2318b,compliant,,crossing,not-looking,walking,212,269,58,True,False,False,False,True,street,2,yes,True
video_0298,video_0298.mp4,0_298_2306b,compliant,,crossing,not-looking,walking,230,269,40,True,False,False,False,True,street,2,yes,True
video_0305,video_0305.mp4,0_305_2366b,compliant,,crossing,not-looking,walking,0,149,150,True,False,False,False,True,street,2,yes,True
video_0305,video_0305.mp4,0_305_2374b,compliant,,crossing,not-looking,walking,4,149,146,True,False,False,False,True,street,2,yes,True
video_0305,video_0305.mp4,0_305_2371b,compliant,,crossing,not-looking,walking,0,149,150,True,False,False,False,True,street,2,yes,True
video_0305,video_0305.mp4,0_305_2362b,compliant,,crossing,not-looking,walking,0,149,150,True,False,False,False,True,street,2,yes,True
video_0309,video_0309.mp4,0_309_2404b,compliant,,crossing,not-looking,walking,0,45,46,True,False,False,False,True,street,2,yes,True
video_0309,video_0309.mp4,0_309_2403b,compliant,,crossing,not-looking,walking,0,49,50,True,False,False,False,True,street,2,yes,True
video_0311,video_0311.mp4,0_311_2438b,compliant,,crossing,not-looking,walking,0,149,150,True,False,False,False,True,street,4,yes,True
video_0311,video_0311.mp4,0_311_2441b,compliant,,crossing,not-looking,walking,0,122,123,True,False,False,False,True,street,4,yes,True
video_0311,video_0311.mp4,0_311_2442b,compliant,,crossing,not-looking,walking,0,137,138,True,False,False,False,True,street,4,yes,True
video_0311,video_0311.mp4,0_311_2427b,compliant,,crossing,not-looking,walking,0,122,123,True,False,False,False,True,street,4,yes,True
video_0311,video_0311.mp4,0_311_2439b,compliant,,crossing,not-looking,walking,0,149,150,True,False,False,False,True,street,4,yes,True
video_0312,video_0312.mp4,0_312_2449b,compliant,,crossing,not-looking,walking,0,119,120,True,False,False,False,True,street,2,no,True
video_0313,video_0313.mp4,0_313_2457b,compliant,,crossing,not-looking,walking,71,353,283,True,False,False,False,True,street,2,yes,True
video_0313,video_0313.mp4,0_313_2468b,compliant,,crossing,not-looking,walking,81,341,261,True,False,False,False,True,street,2,yes,True
video_0313,video_0313.mp4,0_313_2464b,compliant,,crossing,not-looking,walking,0,244,245,True,False,False,False,True,street,2,yes,True
video_0313,video_0313.mp4,0_313_2467b,compliant,,crossing,not-looking,walking,420,599,180,True,False,False,False,True,street,2,yes,True
video_0313,video_0313.mp4,0_313_2463b,compliant,,crossing,not-looking,walking,425,599,175,True,False,False,False,True,street,2,yes,True
video_0313,video_0313.mp4,0_313_2451b,compliant,,crossing,not-looking,walking,174,458,285,True,False,False,False,True,street,2,yes,True
video_0314,video_0314.mp4,0_314_2472b,compliant,,crossing,not-looking,walking,0,119,120,True,False,False,False,True,street,2,yes,True
video_0316,video_0316.mp4,0_316_2490b,compliant,,crossing,not-looking,walking,0,119,120,True,False,False,False,True,street,3,yes,True
video_0317,video_0317.mp4,0_317_2500b,compliant,,crossing,not-looking,walking,0,255,256,True,False,False,False,True,street,3,yes,True
video_0317,video_0317.mp4,0_317_2495b,compliant,,crossing,not-looking,walking,8,257,250,True,False,False,False,True,street,3,yes,True
video_0319,video_0319.mp4,0_319_2510b,compliant,,crossing,not-looking,walking,4,119,116,True,False,False,False,True,street,2,yes,True
video_0321,video_0321.mp4,0_321_2523b,jaywalking,NO_CROSSWALK,crossing,not-looking,walking,0,119,120,False,False,False,False,False,street,4,no,True
video_0322,video_0322.mp4,0_322_2551b,compliant,,crossing,not-looking,walking,0,269,270,True,False,False,False,True,street,2,yes,True
video_0325,video_0325.mp4,0_325_2565b,compliant,,crossing,not-looking,walking,0,149,150,True,False,False,False,True,street,4,no,True
